trial_nr	onset	event_type	phase	response	nr_frames	picture_index	picture_file	onset_abs	duration
67	77.6871829032898	picture	0		83.0	65.0	/home/egter/Projects/stimuli/pictures/n12144580_31450.JPEG	110.80943393707275	0.6944470405578613
67	78.36891794204712	response	0	k		65.0	/home/egter/Projects/stimuli/pictures/n12144580_31450.JPEG	111.49116897583008	
68	78.38162994384766	picture	0		100.0	66.0	/home/egter/Projects/stimuli/pictures/n03891251_7811.JPEG	111.50388097763062	0.837195873260498
68	79.20219898223877	response	0	k		66.0	/home/egter/Projects/stimuli/pictures/n03891251_7811.JPEG	112.32445001602173	
69	79.21882581710815	picture	0		130.0	67.0	/home/egter/Projects/stimuli/pictures/n02910353_15057.JPEG	112.34107685089111	1.08640718460083
69	80.29391193389893	response	0	k		67.0	/home/egter/Projects/stimuli/pictures/n02910353_15057.JPEG	113.41616296768188	
70	80.30523300170898	picture	0		186.0	68.0	/home/egter/Projects/stimuli/pictures/n03344393_8204.JPEG	113.42748403549194	1.548569917678833
70	81.8439588546753	response	0	k		68.0	/home/egter/Projects/stimuli/pictures/n03344393_8204.JPEG	114.96620988845825	
71	81.85380291938782	picture	0		87.0	69.0	/home/egter/Projects/stimuli/pictures/n02814533_13155.JPEG	114.97605395317078	0.7294600009918213
71	82.56918382644653	response	0	k		69.0	/home/egter/Projects/stimuli/pictures/n02814533_13155.JPEG	115.69143486022949	
72	82.58326292037964	picture	0		93.0	70.0	/home/egter/Projects/stimuli/pictures/R_S_yt-7Fyu2vr7zbA_31.png	115.7055139541626	0.7774238586425781
72	83.35223388671875	response	0	j		70.0	/home/egter/Projects/stimuli/pictures/R_S_yt-7Fyu2vr7zbA_31.png	116.47448492050171	
73	83.36068677902222	picture	0		122.0	71.0	/home/egter/Projects/stimuli/pictures/S_yt-Xkx53mjgj2E_30.png	116.48293781280518	1.0209400653839111
73	84.3688600063324	response	0	j		71.0	/home/egter/Projects/stimuli/pictures/S_yt-Xkx53mjgj2E_30.png	117.49111104011536	
74	84.38162684440613	picture	0		105.0	72.0	/home/egter/Projects/stimuli/pictures/n06785654_17137.JPEG	117.50387787818909	0.8818459510803223
74	85.24388480186462	response	0	k		72.0	/home/egter/Projects/stimuli/pictures/n06785654_17137.JPEG	118.36613583564758	
75	85.26347279548645	picture	0		157.0	73.0	/home/egter/Projects/stimuli/pictures/S_yt-LB9LoYfH_EA_15.png	118.38572382926941	1.3055250644683838
75	86.56054186820984	response	0	k		73.0	/home/egter/Projects/stimuli/pictures/S_yt-LB9LoYfH_EA_15.png	119.6827929019928	
76	86.56899785995483	picture	0		141.0	74.0	/home/egter/Projects/stimuli/pictures/n01728572_2672.JPEG	119.6912488937378	1.183251142501831
76	87.73587393760681	response	0	k		74.0	/home/egter/Projects/stimuli/pictures/n01728572_2672.JPEG	120.85812497138977	
77	87.75224900245667	picture	0		202.0	75.0	/home/egter/Projects/stimuli/pictures/R_S_yt-MhW2fU45JK8_544.png	120.87450003623962	1.6848127841949463
77	89.42720484733582	response	0	k		75.0	/home/egter/Projects/stimuli/pictures/R_S_yt-MhW2fU45JK8_544.png	122.54945588111877	
78	89.43706178665161	picture	0		123.0	76.0	/home/egter/Projects/stimuli/pictures/R_S_ILSVRC2015_train_00572000.png	122.55931282043457	1.0277931690216064
78	90.45221781730652	response	0	j		76.0	/home/egter/Projects/stimuli/pictures/R_S_ILSVRC2015_train_00572000.png	123.57446885108948	
79	90.46485495567322	picture	0		357.0	77.0	/home/egter/Projects/stimuli/pictures/n02104029_5263.JPEG	123.58710598945618	2.972174882888794
79	93.42710781097412	response	0	k		77.0	/home/egter/Projects/stimuli/pictures/n02104029_5263.JPEG	126.54935884475708	
80	93.43702983856201	picture	0		75.0	78.0	/home/egter/Projects/stimuli/pictures/ILSVRC2012_test_00085201.JPEG	126.55928087234497	0.6250760555267334
80	94.05211997032166	response	0	k		78.0	/home/egter/Projects/stimuli/pictures/ILSVRC2012_test_00085201.JPEG	127.17437100410461	
81	94.06210589408875	picture	0		70.0	79.0	/home/egter/Projects/stimuli/pictures/n07590611_18149.JPEG	127.1843569278717	0.5832390785217285
81	94.63551878929138	response	0	k		79.0	/home/egter/Projects/stimuli/pictures/n07590611_18149.JPEG	127.75776982307434	
82	94.64534497261047	picture	0		138.0	80.0	/home/egter/Projects/stimuli/pictures/S_yt-M8wvzt_BMXM_173.png	127.76759600639343	1.152878999710083
82	95.78555989265442	response	0	k		80.0	/home/egter/Projects/stimuli/pictures/S_yt-M8wvzt_BMXM_173.png	128.90781092643738	
83	95.79822397232056	picture	0		100.0	81.0	/home/egter/Projects/stimuli/pictures/R_S_yt-BiBS8EO5GPc_4.png	128.92047500610352	0.8332648277282715
83	96.61883997917175	response	0	j		81.0	/home/egter/Projects/stimuli/pictures/R_S_yt-BiBS8EO5GPc_4.png	129.7410910129547	
84	96.63148880004883	picture	0		75.0	82.0	/home/egter/Projects/stimuli/pictures/n03496892_7861.JPEG	129.7537398338318	0.6250929832458496
84	97.24383497238159	response	0	k		82.0	/home/egter/Projects/stimuli/pictures/n03496892_7861.JPEG	130.36608600616455	
85	97.25658178329468	picture	0		116.0	83.0	/home/egter/Projects/stimuli/pictures/n01737021_9464.JPEG	130.37883281707764	0.9651532173156738
85	98.21049880981445	response	0	k		83.0	/home/egter/Projects/stimuli/pictures/n01737021_9464.JPEG	131.3327498435974	
86	98.22173500061035	picture	0		86.0	84.0	/home/egter/Projects/stimuli/pictures/S_yt-z16pdVTZK1o_3.png	131.3439860343933	0.7152488231658936
86	98.92032480239868	response	0	j		84.0	/home/egter/Projects/stimuli/pictures/S_yt-z16pdVTZK1o_3.png	132.04257583618164	
87	98.93698382377625	picture	0		76.0	85.0	/home/egter/Projects/stimuli/pictures/R_S_PA_A001_C007_SDR_20190717_SDR_2K_AVC.png	132.0592348575592	0.6319460868835449
87	99.56047892570496	response	0	j		85.0	/home/egter/Projects/stimuli/pictures/R_S_PA_A001_C007_SDR_20190717_SDR_2K_AVC.png	132.68272995948792	
88	99.56892991065979	picture	0		114.0	86.0	/home/egter/Projects/stimuli/pictures/S_yt-nfDPFHUDq8g_136.png	132.69118094444275	0.951369047164917
88	100.5036449432373	response	0	j		86.0	/home/egter/Projects/stimuli/pictures/S_yt-nfDPFHUDq8g_136.png	133.62589597702026	
89	100.5202989578247	picture	0		88.0	87.0	/home/egter/Projects/stimuli/pictures/n03250847_2573.JPEG	133.64254999160767	0.7361199855804443
89	101.24384784698486	response	0	k		87.0	/home/egter/Projects/stimuli/pictures/n03250847_2573.JPEG	134.36609888076782	
90	101.25641894340515	picture	0		203.0	88.0	/home/egter/Projects/stimuli/pictures/n01667114_14580.JPEG	134.3786699771881	1.6956188678741455
90	102.9288477897644	response	0	j		88.0	/home/egter/Projects/stimuli/pictures/n01667114_14580.JPEG	136.05109882354736	
91	102.9520378112793	picture	0		139.0	89.0	/home/egter/Projects/stimuli/pictures/n01914609_246.JPEG	136.07428884506226	1.1585171222686768
91	104.10214591026306	response	0	k		89.0	/home/egter/Projects/stimuli/pictures/n01914609_246.JPEG	137.22439694404602	
92	104.11055493354797	picture	0		77.0	90.0	/home/egter/Projects/stimuli/pictures/n04389033_960.JPEG	137.23280596733093	0.6459319591522217
92	104.74385094642639	response	0	k		90.0	/home/egter/Projects/stimuli/pictures/n04389033_960.JPEG	137.86610198020935	
93	104.7564868927002	picture	0		133.0	91.0	/home/egter/Projects/stimuli/pictures/S_yt-qOPJfTB1klY_1.png	137.87873792648315	1.104051113128662
93	105.85216498374939	response	0	k		91.0	/home/egter/Projects/stimuli/pictures/S_yt-qOPJfTB1klY_1.png	138.97441601753235	
94	105.86053800582886	picture	0		104.0	92.0	/home/egter/Projects/stimuli/pictures/R_S_yt-OdTWn1U1mO4_68.png	138.98278903961182	0.8680849075317383
94	106.71192193031311	response	0	j		92.0	/home/egter/Projects/stimuli/pictures/R_S_yt-OdTWn1U1mO4_68.png	139.83417296409607	
95	106.7286229133606	picture	0		104.0	93.0	/home/egter/Projects/stimuli/pictures/n03000134_1013.JPEG	139.85087394714355	0.8679969310760498
95	107.58547782897949	response	0	k		93.0	/home/egter/Projects/stimuli/pictures/n03000134_1013.JPEG	140.70772886276245	
96	107.59661984443665	picture	0		88.0	94.0	/home/egter/Projects/stimuli/pictures/n02102973_3999.JPEG	140.7188708782196	0.7365450859069824
96	108.31195998191833	response	0	k		94.0	/home/egter/Projects/stimuli/pictures/n02102973_3999.JPEG	141.4342110157013	
